Position,Name,Number,Team,Activated,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,FumblesForced,FumblesRecovered,Interceptions,Tackles
DE,Calais Campbell,93,ATL,4,4,5.0,10.1,0.0,0.0,0.0,3.8,0.0,0.0,0.0,14.5
DE,James Smith-Williams,96,WAS,4,4,2.5,2.5,1.3,1.3,1.3,3.8,0.0,0.0,0.0,5.0
DT,Larrell Murchison,52,LAR,4,4,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
DE,A.J. Epenesa,57,BUF,4,4,2.5,0.0,2.5,1.3,5.0,1.3,0.0,0.0,1.3,2.5
DT,Broderick Washington,96,BAL,4,4,5.0,0.0,1.3,1.3,7.5,2.5,0.0,0.0,0.0,5.0
DL,Malcolm Roach,97,NO,4,4,3.8,11.2,2.5,0.0,0.0,1.3,0.0,0.0,0.0,14.5
DT,Justin Madubuike,92,BAL,4,4,7.5,5.0,3.8,2.5,26.9,3.8,0.0,0.0,0.0,11.2
DT,Jordan Elliott,96,CLE,4,4,0.0,5.0,0.0,0.6,3.1,1.3,0.0,0.0,0.0,5.0
DT,Raekwon Davis,98,MIA,4,4,5.0,3.8,1.3,0.0,0.0,1.3,0.0,0.0,0.0,8.8
DT,Neville Gallimore,96,DAL,4,4,2.5,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.8
DT,Derrick Brown,95,CAR,4,4,16.8,10.0,2.5,1.3,14.5,3.8,0.0,0.0,0.0,25.7
DE,Mike Danna,51,KC,4,4,10.1,7.5,2.5,3.1,10.1,3.8,0.0,0.0,0.0,16.8
DE,Casey Toohill,95,WAS,4,4,5.0,1.3,1.3,1.3,0.0,1.3,0.0,0.0,0.0,6.3
DT,Myles Adams,95,SEA,4,4,1.3,3.8,1.3,1.3,8.8,1.3,0.0,0.0,0.0,5.0
DT,Tershawn Wharton,98,KC,4,4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3
DE,Jonah Williams,92,LAR,4,4,6.3,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,14.5
DT,Teair Tart,93,TEN,4,4,10.0,2.5,3.8,0.0,0.0,3.8,0.0,0.0,0.0,11.2
DE,Kwity Paye,51,IND,4,4,10.1,3.8,5.0,3.8,21.3,5.0,0.0,2.5,0.0,13.4
DE,Greg Rousseau,50,BUF,4,4,10.0,1.3,5.0,3.8,21.3,5.0,1.3,0.0,0.0,10.1
DL,Christian Barmore,90,NE,4,4,5.0,2.5,1.3,1.3,13.4,1.3,0.0,0.0,0.0,7.5
NT,Bobby Brown III,95,LAR,4,4,3.8,7.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,10.1
DT,Milton Williams,93,PHI,4,4,7.5,5.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,11.2
DT,Marlon Tuipulotu,95,PHI,4,4,3.8,2.5,1.3,1.3,2.5,1.3,0.0,0.0,0.0,6.3
DE,Jonathan Greenard,52,HOU,4,4,13.4,5.0,6.3,3.8,22.4,5.0,0.0,0.0,0.0,17.9
DL,Benito Jones,94,DET,4,4,5.0,2.5,1.3,1.3,10.0,1.3,0.0,0.0,0.0,7.5
