Position,Name,Number,Team,Activated,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,FumblesForced,FumblesRecovered,Interceptions,Tackles
ILB,Justin Strnad,40,DEN,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Cameron Goode,53,MIA,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Khaleke Hudson,47,WAS,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLB,BJ Ojulari,18,ARI,4,4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
ILB,Krys Barnes,51,ARI,4,4,14.5,3.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,17.9
OLB,Michael Hoecht,97,LAR,4,4,8.8,11.2,1.3,0.6,5.0,1.3,0.0,0.0,0.0,19.0
LB,Christian Rozeboom,56,LAR,4,4,14.5,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6
LB,Bryce Huff,47,NYJ,4,4,2.5,2.5,1.3,0.0,0.0,5.0,0.0,0.0,0.0,5.0
OLB,Cam Gill,49,TB,4,4,1.3,0.0,0.0,1.3,8.8,1.3,1.3,0.0,0.0,1.3
LB,Micah Parsons,11,DAL,4,4,10.1,6.3,7.5,5.0,35.8,10.0,1.3,1.3,0.0,15.7
LB,Jeremiah Owusu-Koramoah,6,CLE,4,4,16.8,5.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,21.3
OLB,Zaven Collins,25,ARI,4,4,10.0,3.8,1.3,1.9,15.1,2.5,0.0,1.3,1.3,12.3
LB,Derrick Barnes,55,DET,4,4,13.4,11.2,2.5,1.3,13.4,1.3,0.0,0.0,0.0,24.6
ILB,Trenton Simpson,30,BAL,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILB,K.J. Britt,52,TB,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLB,Jonathon Cooper,0,DEN,4,4,11.2,14.5,2.5,3.8,29.1,3.8,1.3,1.3,0.0,25.7
LB,Pete Werner,20,NO,4,4,20.1,17.9,0.0,0.6,5.0,1.3,0.0,0.0,0.0,38.0
OLB,Rashad Weaver,99,TEN,4,4,1.3,3.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0
LB,Jamin Davis,52,WAS,4,4,19.0,10.1,2.5,1.3,1.3,2.5,1.3,0.0,0.0,29.1
LB,Divine Deablo,5,LV,4,4,19.0,14.5,2.5,1.3,8.8,1.3,0.0,0.0,0.0,33.6
OLB,Joe Tryon-Shoyinka,9,TB,4,4,10.0,2.5,3.8,2.5,23.5,5.0,0.0,1.3,0.0,11.2
LB,Chazz Surratt,55,NYJ,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Grant Stuard,41,IND,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Jordyn Brooks,56,SEA,4,4,22.4,23.5,3.8,2.5,1.3,1.3,0.0,1.3,0.0,45.9
LB,Logan Wilson,55,CIN,4,4,21.3,8.8,2.5,0.0,0.0,0.0,0.0,0.0,2.5,29.1
OLB,Justin Houston,50,CAR,4,4,5.0,3.8,2.5,0.6,4.4,3.8,0.0,0.0,0.0,8.8
OLB,D.J. Wonnum,98,MIN,4,4,6.3,10.1,1.3,1.3,12.3,5.0,0.0,1.3,0.0,15.7
LB,Anthony Pittman,57,DET,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Darrell Taylor,52,SEA,4,4,5.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3
OLB,K'Lavon Chaisson,45,JAX,4,4,2.5,1.3,1.3,1.3,8.8,3.8,0.0,0.0,0.0,3.8
LB,Josh Uche,55,NE,4,4,5.0,1.3,1.3,2.5,11.2,3.8,0.0,0.0,0.0,6.3
OLB,Yetur Gross-Matos,97,CAR,4,4,7.5,3.8,3.8,3.1,11.7,5.0,0.0,0.0,0.0,10.1
LB,Alex Highsmith,56,PIT,4,4,10.1,10.0,2.5,1.3,5.0,8.8,1.3,0.0,1.3,19.0
LB,Noah Sewell,44,CHI,4,4,1.3,3.8,0.0,0.0,0.0,0.0,1.3,0.0,0.0,5.0
ILB,Carter Coughlin,52,NYG,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Zack Baun,53,NO,4,4,3.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
LB,Markus Bailey,51,CIN,4,4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
LB,Henry To'oto'o,39,HOU,4,4,16.8,13.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,30.2
LB,Joe Bachie,49,CIN,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Tanner Muse,44,LAC,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Shaquille Quarterman,50,JAX,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Jack Campbell,46,DET,4,4,10.0,6.3,2.5,1.3,6.3,1.3,0.0,0.0,0.0,14.5
ILB,Patrick Queen,6,BAL,4,4,21.3,19.0,5.0,2.5,24.6,3.8,0.0,0.0,0.0,40.3
LB,Willie Gay,50,KC,4,4,8.8,5.0,0.0,0.0,0.0,1.3,0.0,1.3,0.0,12.3
LB,Kenneth Murray Jr.,9,LAC,4,4,19.0,10.1,3.8,1.3,7.5,1.3,0.0,0.0,1.3,29.1
LB,Troy Dye,45,MIN,4,4,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.3
LB,Malik Harrison,40,BAL,4,4,3.8,2.5,0.0,0.0,0.0,1.3,0.0,0.0,0.0,6.3
OLB,Victor Dimukeje,52,ARI,4,4,6.3,3.8,2.5,3.1,18.5,5.0,1.3,0.0,0.0,10.0
LB,Jamien Sherwood,44,NYJ,4,4,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4
LB,Tony Fields II,42,CLE,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Damone Clark,33,DAL,4,4,12.3,11.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,23.5
LB,Jermaine Johnson,11,NYJ,4,4,12.3,2.5,3.8,1.3,2.5,1.3,0.0,0.0,0.0,14.5
OLB,Arnold Ebiketie,17,ATL,4,4,2.5,3.8,0.0,0.0,0.0,2.5,0.0,0.0,0.0,6.3
OLB,Amaré Barno,90,CAR,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLB,DeAngelo Malone,51,ATL,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Segun Olubi,50,IND,4,4,1.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
OLB,Jesse Luketa,43,ARI,4,4,3.8,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,5.0
LB,Kingsley Enagbare,55,GB,4,4,11.2,3.8,1.3,0.0,0.0,1.3,0.0,0.0,0.0,14.5
LB,Jake Hummel,35,LAR,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Chad Muma,48,JAX,4,4,3.8,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1
LB,Quay Walker,7,GB,4,4,24.6,28.0,2.5,0.0,0.0,1.3,0.0,0.0,1.3,52.6
LB,Nephi Sewell,45,NO,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Channing Tindall,41,MIA,4,4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
LB,D'Marco Jackson,52,NO,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB,Terrel Bernard,43,BUF,4,4,15.7,16.8,2.5,2.5,12.3,2.5,0.0,2.5,2.5,32.5
OLB,Zach VanValkenburg,51,LAR,4,4,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
