Position,Name,Number,Team,Games Active,Games Played,Pass Attempts,Passes Completed,Passing Yards,Passing Yards Per Attempt,Passing Yards Per Completion,Passing Touchdowns,Passer Rating,Passing Touchdowns,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Rushing Touchdowns,Fumbles,Fumbles Lost
QB,Daniel Jones,8,NYG,4,4,146.6,100.7,856.0,7.3,10.6,2.5,78.0,2.5,38.0,193.6,6.4,1.3,5.0,1.3
QB,Dak Prescott,4,DAL,4,4,152.2,108.5,1016.1,8.4,10.5,5.0,107.5,5.0,12.3,48.1,4.9,0.0,0.0,0.0
QB,Tua Tagovailoa,1,MIA,4,4,152.2,108.5,1461.4,10.7,15.1,10.1,128.0,10.1,12.3,16.8,1.8,0.0,6.3,1.3
QB,Joshua Dobbs,9,ARI,4,4,137.6,97.4,910.9,8.3,10.5,5.0,111.3,5.0,26.9,157.8,7.4,1.3,5.0,2.5
QB,Taysom Hill,7,NO,4,4,2.5,2.5,23.5,11.7,11.7,0.0,123.6,0.0,22.4,113.0,6.3,0.0,0.0,0.0
QB,Desmond Ridder,9,ATL,4,4,133.2,82.8,832.5,7.9,11.3,3.8,87.1,3.8,15.7,52.6,4.3,1.3,3.8,2.5
QB,Lamar Jackson,8,BAL,4,4,117.5,87.3,888.5,9.5,11.4,5.0,116.6,5.0,45.9,246.2,6.8,5.0,7.5,3.8
QB,Baker Mayfield,6,TB,4,4,139.9,97.4,987.0,8.9,11.3,8.8,113.6,8.8,25.7,68.3,3.4,0.0,1.3,0.0
QB,Josh Allen,17,BUF,4,4,151.1,113.0,1172.7,9.8,11.6,10.1,119.3,10.1,17.9,118.6,8.3,2.5,2.5,1.3
QB,Kenny Pickett,8,PIT,4,4,142.1,86.2,898.6,7.9,11.6,5.0,85.4,5.0,11.2,20.1,2.3,0.0,0.0,0.0
QB,Mac Jones,10,NE,4,4,163.4,104.1,1004.9,7.8,10.9,6.3,90.4,6.3,15.7,67.1,5.4,0.0,1.3,1.3
QB,Zach Wilson,2,NYJ,4,4,137.6,80.6,796.7,7.3,11.1,5.0,80.9,5.0,13.4,63.8,6.0,0.0,1.3,1.3
QB,Justin Fields,1,CHI,4,4,137.6,88.4,963.5,8.8,12.2,8.8,97.1,8.8,31.3,149.9,6.0,1.3,5.0,2.5
QB,Trevor Lawrence,16,JAX,4,4,160.0,107.4,1055.2,8.3,11.0,5.0,99.6,5.0,25.7,113.0,5.5,0.0,3.8,1.3
QB,Jordan Love,10,GB,4,4,147.7,82.8,1008.2,8.5,13.7,10.0,98.4,10.0,17.9,80.6,5.6,2.5,2.5,0.0
QB,Jalen Hurts,1,PHI,4,4,145.5,98.5,1073.1,9.3,12.2,6.3,103.4,6.3,44.8,149.9,4.3,3.8,1.3,1.3
QB,Joe Burrow,9,CIN,4,4,169.0,97.4,814.6,6.0,10.5,2.5,77.3,2.5,10.0,3.8,0.5,0.0,1.3,1.3
QB,Sam Howell,14,WAS,4,4,156.7,105.2,1075.4,8.6,11.4,5.0,91.0,5.0,12.3,91.8,9.4,1.3,3.8,1.3
QB,Patrick Mahomes,15,KC,4,4,160.0,102.9,1125.7,8.8,12.2,10.0,102.9,10.0,25.7,172.3,8.4,0.0,1.3,0.0
QB,C.J. Stroud,7,HOU,4,4,169.0,105.2,1356.2,10.0,14.4,7.5,112.6,7.5,15.7,57.1,4.5,0.0,3.8,2.5
QB,Derek Carr,4,NO,4,4,138.8,89.5,853.8,7.8,10.6,2.5,89.7,2.5,10.0,1.3,0.1,0.0,1.3,1.3
QB,Matthew Stafford,9,LAR,4,4,185.8,115.3,1375.3,9.3,13.3,3.8,87.4,3.8,11.2,54.8,6.1,0.0,0.0,0.0
QB,Ryan Tannehill,17,TEN,4,4,120.9,75.0,881.8,9.1,13.2,2.5,83.8,2.5,11.2,31.3,3.5,1.3,3.8,0.0
QB,Kirk Cousins,8,MIN,4,4,175.7,120.9,1358.5,9.6,12.5,12.3,116.8,12.3,6.3,19.0,4.3,0.0,5.0,3.8
QB,Russell Wilson,3,DEN,4,4,147.7,99.6,1134.7,9.6,12.8,10.1,119.4,10.1,12.3,78.3,8.0,0.0,1.3,1.3
QB,Geno Smith,7,SEA,4,4,137.6,94.0,946.7,8.6,11.3,6.3,109.5,6.3,10.0,24.6,3.5,0.0,0.0,0.0
QB,Justin Herbert,10,LAC,4,4,162.3,115.3,1237.6,9.5,12.0,8.8,118.9,8.8,22.4,61.5,3.5,3.8,1.3,0.0
QB,Jared Goff,16,DET,4,4,146.6,101.8,1151.5,9.9,12.6,7.5,110.1,7.5,13.4,13.4,1.3,1.3,0.0,0.0
QB,Brock Purdy,13,SF,4,4,125.3,90.6,1140.3,10.2,14.1,6.3,128.8,6.3,13.4,26.9,2.5,2.5,5.0,1.3
QB,Kyle Allen,9,BUF,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,-7.8,-1.1,0.0,0.0,0.0
QB,Cooper Rush,10,DAL,3,3,3.8,2.5,22.4,8.4,11.2,0.0,95.6,0.0,3.8,-2.2,-0.8,0.0,0.0,0.0
QB,Jimmy Garoppolo,10,LV,3,3,105.2,71.6,793.4,9.4,12.4,6.3,91.1,6.3,13.4,21.3,2.0,0.0,1.3,0.0
QB,Gardner Minshew,10,IND,3,3,77.2,51.5,445.4,7.3,10.9,2.5,102.2,2.5,2.5,3.8,1.9,0.0,1.3,0.0
QB,Sam Darnold,14,SF,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-4.5,-1.1,0.0,0.0,0.0
QB,Tyrod Taylor,2,NYG,3,3,3.8,2.5,7.5,2.5,3.8,0.0,78.5,0.0,1.3,2.5,2.5,0.0,0.0,0.0
QB,Bryce Young,9,CAR,3,3,115.3,75.0,562.9,6.1,9.4,2.5,83.9,2.5,8.8,68.3,10.9,0.0,3.8,2.5
QB,Anthony Richardson,5,IND,3,3,80.6,45.9,536.0,8.4,13.1,3.8,95.5,3.8,25.7,146.6,7.1,5.0,2.5,1.3
QB,Deshaun Watson,4,CLE,3,3,114.1,72.7,758.7,8.3,11.6,5.0,98.2,5.0,16.8,92.9,6.9,1.3,5.0,2.5
QB,Andy Dalton,14,CAR,2,2,64.9,38.0,404.0,7.8,11.9,2.5,98.9,2.5,2.5,12.3,6.9,0.0,0.0,0.0
QB,Jameis Winston,2,NO,2,2,19.0,11.2,113.0,7.4,11.3,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Dorian Thompson-Robinson,17,CLE,2,2,40.3,21.3,135.4,4.3,8.0,0.0,28.4,0.0,5.0,26.9,7.5,0.0,1.3,0.0
QB,Aidan O'Connell,4,LV,1,1,43.6,26.9,266.3,7.6,11.1,0.0,76.2,0.0,3.8,3.8,1.3,1.3,3.8,2.5
QB,Bailey Zappe,4,NE,1,1,10.1,5.0,63.8,7.9,15.9,0.0,73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Tyler Huntley,2,BAL,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,5.0,0.0,0.0,0.0
QB,Malik Willis,7,TEN,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QB,Clayton Tune,15,ARI,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
