Position,Name,Number,Team,Games Active,Games Played,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Rushing Touchdowns,Receiving Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Receiving Touchdowns,Reception Percentage,Receiving Yards Per Target,Fumbles,Fumbles Lost
RB,Brandon Bolden,34,LV,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Clyde Edwards-Helaire,25,KC,4,4,28.0,99.6,4.5,1.3,6.3,6.3,30.2,6.8,0.0,111.9,6.8,0.0,0.0
RB,Brian Robinson Jr.,8,WAS,4,4,68.3,292.1,5.4,3.8,8.8,6.3,61.5,12.3,1.3,79.9,9.9,1.3,0.0
RB,Bijan Robinson,7,ATL,4,4,59.3,355.8,7.5,0.0,24.6,21.3,149.9,8.9,1.3,96.7,7.6,0.0,0.0
RB,Zach Charbonnet,26,SEA,4,4,23.5,116.4,6.3,0.0,8.8,5.0,24.6,6.9,0.0,63.9,3.9,0.0,0.0
RB,Jake Funk,34,IND,4,4,2.5,11.2,6.3,0.0,1.3,1.3,13.4,13.4,0.0,111.9,13.4,0.0,0.0
RB,Gary Brightwell,23,NYG,4,4,10.1,21.3,2.6,0.0,8.8,6.3,52.6,10.5,0.0,79.9,8.4,0.0,0.0
RB,Khalil Herbert,24,CHI,4,4,45.9,219.3,6.0,0.0,16.8,11.2,92.9,10.4,1.3,74.6,6.9,1.3,1.3
RB,Javonte Williams,33,DEN,4,4,42.5,154.4,4.5,0.0,16.8,12.3,57.1,5.8,0.0,82.0,4.3,0.0,0.0
RB,Michael Carter,32,NYJ,4,4,5.0,25.7,7.3,0.0,10.0,7.5,33.6,6.3,0.0,83.9,4.8,0.0,0.0
RB,Ronnie Rivers,20,LAR,4,4,10.1,52.6,6.5,0.0,3.8,3.8,15.7,5.9,0.0,111.9,5.9,0.0,0.0
RB,Rhamondre Stevenson,38,NE,4,4,67.1,183.5,3.4,1.3,17.9,13.4,97.4,9.0,0.0,83.9,6.8,0.0,0.0
RB,Zamir White,35,LV,4,4,10.0,43.6,6.1,0.0,1.3,1.3,6.3,6.3,0.0,111.9,6.3,1.3,1.3
RB,Breece Hall,20,NYJ,4,4,35.8,235.0,8.3,0.0,11.2,6.3,47.0,10.5,0.0,56.0,5.3,2.5,0.0
RB,Rico Dowdle,23,DAL,4,4,22.4,89.5,5.0,0.0,6.3,6.3,56.0,11.2,1.3,111.9,11.2,0.0,0.0
RB,Antonio Gibson,24,WAS,4,4,14.5,60.4,5.3,0.0,11.2,10.0,76.1,10.6,0.0,89.5,8.5,2.5,2.5
RB,Ty Chandler,32,MIN,4,4,8.8,30.2,4.9,0.0,6.3,5.0,34.7,9.8,0.0,89.5,7.8,0.0,0.0
RB,Latavius Murray,28,BUF,4,4,19.0,86.2,5.6,2.5,8.8,7.5,53.7,10.0,0.0,95.9,8.6,0.0,0.0
RB,DeeJay Dallas,31,SEA,4,4,6.3,15.7,3.5,0.0,3.8,2.5,13.4,7.5,0.0,74.6,5.0,0.0,0.0
RB,AJ Dillon,28,GB,4,4,49.2,132.0,3.4,0.0,6.3,3.8,28.0,10.4,0.0,67.1,6.3,0.0,0.0
RB,Joshua Kelley,25,LAC,4,4,63.8,231.6,4.5,1.3,3.8,1.3,6.3,6.3,0.0,37.3,2.1,0.0,0.0
RB,Chris Brooks,35,MIA,4,4,10.1,73.9,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Tank Bigsby,4,JAX,4,4,13.4,36.9,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3
RB,Eric Gray,20,NYG,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
RB,Isiah Pacheco,10,KC,4,4,61.5,302.1,6.1,2.5,13.4,11.2,100.7,10.1,0.0,93.2,9.4,0.0,0.0
RB,Emari Demercado,31,ARI,4,4,5.0,3.8,1.0,0.0,7.5,6.3,31.3,7.0,0.0,93.2,5.9,0.0,0.0
RB,Roschon Johnson,23,CHI,4,4,24.6,115.3,5.9,1.3,13.4,12.3,64.9,6.6,0.0,102.6,6.0,0.0,0.0
RB,Jaleel McLaughlin,38,DEN,4,4,14.5,102.9,8.9,1.3,5.0,5.0,28.0,7.8,1.3,111.9,7.8,0.0,0.0
RB,Hunter Luepke,40,DAL,4,4,3.8,14.5,5.4,1.3,1.3,1.3,13.4,13.4,0.0,111.9,13.4,0.0,0.0
RB,Sean Tucker,44,TB,4,4,16.8,25.7,1.9,0.0,2.5,2.5,10.1,5.6,0.0,111.9,5.6,0.0,0.0
RB,Deuce Vaughn,42,DAL,4,4,19.0,36.9,2.4,0.0,5.0,5.0,20.1,5.6,0.0,111.9,5.6,0.0,0.0
RB,Tyjae Spears,32,TEN,4,4,22.4,136.5,7.6,0.0,15.7,11.2,31.3,3.5,0.0,79.9,2.5,0.0,0.0
RB,Jaylen Warren,30,PIT,4,4,28.0,94.0,4.3,0.0,24.6,20.1,142.1,8.9,0.0,91.5,7.3,1.3,0.0
RB,Jordan Mason,24,SF,4,4,7.5,23.5,4.4,0.0,1.3,1.3,14.5,14.5,0.0,111.9,14.5,0.0,0.0
RB,Jahmyr Gibbs,26,DET,4,4,43.6,200.3,5.8,0.0,20.1,15.7,78.3,6.3,0.0,87.1,4.9,0.0,0.0
RB,Tyler Allgeier,25,ATL,4,4,50.4,169.0,4.3,2.5,10.0,7.5,35.8,6.6,0.0,83.9,5.0,0.0,0.0
RB,James Cook,4,BUF,4,4,62.7,331.2,6.6,1.3,15.7,12.3,128.7,11.7,0.0,88.0,10.3,0.0,0.0
RB,Dameon Pierce,31,HOU,4,4,71.6,202.5,3.5,1.3,12.3,10.0,76.1,10.6,0.0,81.4,7.8,0.0,0.0
RB,Pierre Strong Jr.,20,CLE,4,4,14.5,86.2,7.4,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Rachaad White,1,TB,4,4,70.5,230.5,4.1,1.3,14.5,14.5,96.2,8.3,0.0,111.9,8.3,1.3,1.3
RB,Kenneth Walker III,9,SEA,4,4,71.6,316.7,5.5,6.3,11.2,10.0,81.7,10.2,0.0,89.5,9.1,0.0,0.0
RB,Kyren Williams,23,LAR,4,4,71.6,274.2,4.8,6.3,24.6,12.3,113.0,10.3,1.3,56.0,5.8,1.3,0.0
RB,Jerome Ford,34,CLE,4,4,56.0,208.1,4.6,1.3,14.5,11.2,86.2,9.6,2.5,86.1,7.4,1.3,1.3
RB,Tony Jones Jr.,34,NO,4,4,23.5,78.3,4.1,2.5,7.5,5.0,23.5,6.5,0.0,74.6,4.4,0.0,0.0
RB,Elijah Dotson,42,LAC,4,4,5.0,7.5,1.9,0.0,2.5,2.5,14.5,8.1,0.0,111.9,8.1,0.0,0.0
RB,Najee Harris,22,PIT,4,4,54.8,235.0,5.4,0.0,10.0,5.0,38.0,10.6,0.0,56.0,5.3,0.0,0.0
RB,Miles Sanders,6,CAR,4,4,60.4,176.8,3.6,1.3,25.7,16.8,90.6,6.8,0.0,73.0,4.4,1.3,1.3
RB,Samaje Perine,25,DEN,4,4,20.1,73.9,4.6,0.0,14.5,12.3,106.3,10.8,0.0,94.7,9.1,0.0,0.0
RB,James Conner,6,ARI,4,4,69.4,355.8,6.4,2.5,11.2,10.0,33.6,4.8,0.0,89.5,3.8,0.0,0.0
RB,Gus Edwards,35,BAL,4,4,49.2,216.0,5.5,1.3,3.8,2.5,1.3,0.6,0.0,74.6,0.4,0.0,0.0
RB,Christian McCaffrey,23,SF,4,4,89.5,513.6,7.1,7.5,23.5,20.1,157.8,9.8,1.3,95.9,8.4,1.3,0.0
RB,Damien Harris,22,BUF,4,4,21.3,89.5,5.3,1.3,2.5,2.5,17.9,10.0,0.0,111.9,10.0,0.0,0.0
RB,Dalvin Cook,33,NYJ,4,4,33.6,82.8,3.1,0.0,10.0,10.0,49.2,6.9,0.0,111.9,6.9,1.3,1.3
RB,Joe Mixon,28,CIN,4,4,66.0,276.4,5.3,1.3,14.5,10.1,75.0,9.3,0.0,77.4,6.5,0.0,0.0
RB,Travis Homer,20,CHI,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Josh Jacobs,8,LV,4,4,69.4,185.8,3.4,1.3,28.0,20.1,193.6,10.7,0.0,80.6,8.6,0.0,0.0
RB,Alexander Mattison,2,MIN,4,4,62.7,279.8,5.6,0.0,20.1,13.4,62.7,5.9,1.3,74.6,3.9,1.3,1.3
RB,Derrick Henry,22,TEN,4,4,81.7,318.9,4.9,2.5,10.0,7.5,91.8,15.3,0.0,83.9,11.4,0.0,0.0
RB,Tony Pollard,20,DAL,4,4,81.7,348.0,5.4,2.5,19.0,16.8,68.3,5.1,0.0,98.7,4.5,1.3,0.0
RB,Ezekiel Elliott,15,NE,4,4,38.0,154.4,5.1,0.0,12.3,10.0,30.2,4.3,0.0,81.4,3.1,1.3,1.3
RB,D'Ernest Johnson,25,JAX,4,4,7.5,10.0,1.6,0.0,3.8,3.8,16.8,6.3,0.0,111.9,6.3,0.0,0.0
RB,Travis Etienne Jr.,1,JAX,4,4,77.2,290.9,4.8,1.3,17.9,15.7,107.4,8.6,0.0,97.9,7.5,0.0,0.0
RB,Jerick McKinnon,1,KC,4,4,7.5,15.7,2.9,0.0,10.1,8.8,59.3,9.5,2.5,87.1,7.4,0.0,0.0
RB,Ameer Abdullah,22,LV,4,4,0.0,0.0,0.0,0.0,10.1,6.3,39.2,8.8,0.0,62.2,4.9,0.0,0.0
RB,Chuba Hubbard,30,CAR,4,4,29.1,133.2,5.8,0.0,13.4,12.3,63.8,6.5,0.0,102.6,6.0,0.0,0.0
RB,Raheem Mostert,31,MIA,4,4,53.7,278.6,6.5,7.5,16.8,14.5,128.7,11.0,1.3,97.0,9.6,2.5,1.3
RB,D'Andre Swift,0,PHI,4,4,66.0,407.3,7.8,2.5,12.3,10.1,41.4,5.1,0.0,91.5,4.3,0.0,0.0
RB,Craig Reynolds,13,DET,4,4,8.8,24.6,3.9,0.0,1.3,1.3,-2.2,-2.2,0.0,111.9,-2.2,0.0,0.0
RB,Trayveon Williams,32,CIN,4,4,5.0,16.8,4.8,0.0,5.0,2.5,5.0,2.5,0.0,56.0,1.3,0.0,0.0
RB,Devin Singletary,26,HOU,4,4,30.2,106.3,4.4,0.0,5.0,5.0,28.0,7.8,0.0,111.9,7.8,0.0,0.0
RB,Matt Breida,31,NYG,4,4,23.5,68.3,3.6,1.3,10.1,10.1,51.5,6.4,0.0,111.9,6.4,1.3,0.0
RB,Isaiah Spiller,28,LAC,3,3,10.0,24.6,3.5,0.0,2.5,2.5,16.8,9.4,0.0,111.9,9.4,0.0,0.0
RB,Dwayne Washington,39,DEN,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,De'Von Achane,28,MIA,3,3,30.2,345.8,12.8,5.0,11.2,10.0,59.3,8.3,2.5,89.5,6.6,0.0,0.0
RB,Chris Rodriguez Jr.,23,WAS,3,3,3.8,8.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,Chase Brown,30,CIN,3,3,1.3,2.5,2.5,0.0,1.3,1.3,-3.4,-3.4,0.0,111.9,-3.4,0.0,0.0
RB,Salvon Ahmed,26,MIA,3,3,7.5,26.9,5.0,0.0,7.5,3.8,31.3,10.4,0.0,56.0,5.9,0.0,0.0
RB,Justice Hill,43,BAL,3,3,24.6,92.9,4.8,2.5,3.8,3.8,13.4,5.0,0.0,111.9,5.0,0.0,0.0
RB,Zack Moss,21,IND,3,3,73.9,313.3,5.3,1.3,10.0,7.5,47.0,8.8,1.3,83.9,6.5,0.0,0.0
