Team,Win-Loss Record,Win %,MOV,ATS,Year
New England,17-2-0,89.5%,6.6,+4.3,2003
Kansas City,13-4-0,76.5%,8.5,+2.9,2003
Indianapolis,14-5-0,73.7%,7.3,+4.5,2003
Philadelphia,13-5-0,72.2%,4.4,+1.8,2003
Tennessee,13-5-0,72.2%,6.2,+3.0,2003
LA Rams,12-5-0,70.6%,6.6,+1.9,2003
Carolina,14-6-0,70.0%,2.7,+2.1,2003
Miami,10-6-0,62.5%,3.1,+0.3,2003
Green Bay,11-7-0,61.1%,7.7,+4.6,2003
Seattle,10-7-0,58.8%,4.2,+1.7,2003
Dallas,10-7-0,58.8%,0.6,-0.1,2003
Baltimore,10-7-0,58.8%,6.3,+5.0,2003
Denver,10-7-0,58.8%,2.9,+0.4,2003
Minnesota,9-7-0,56.3%,3.9,+0.6,2003
Cincinnati,8-8-0,50.0%,-2.4,-0.1,2003
New Orleans,8-8-0,50.0%,0.9,+1.0,2003
Chicago,7-9-0,43.8%,-3.9,-0.2,2003
Tampa Bay,7-9-0,43.8%,2.3,-1.4,2003
San Francisco,7-9-0,43.8%,2.9,+2.4,2003
NY Jets,6-10-0,37.5%,-1.0,+0.4,2003
Buffalo,6-10-0,37.5%,-2.3,-1.5,2003
Pittsburgh,6-10-0,37.5%,-1.7,-2.4,2003
Washington,5-11-0,31.3%,-5.3,-2.8,2003
Cleveland,5-11-0,31.3%,-4.3,-2.5,2003
Detroit,5-11-0,31.3%,-6.8,-1.3,2003
Jacksonville,5-11-0,31.3%,-3.4,-0.2,2003
Atlanta,5-11-0,31.3%,-7.7,-3.4,2003
Houston,5-11-0,31.3%,-7.8,-0.9,2003
Las Vegas,4-12-0,25.0%,-6.8,-4.8,2003
NY Giants,4-12-0,25.0%,-9.0,-8.1,2003
Arizona,4-12-0,25.0%,-14.2,-7.3,2003
LA Chargers,4-12-0,25.0%,-8.0,-3.8,2003
New England,17-2-0,89.5%,11.1,+4.7,2004
Pittsburgh,16-2-0,88.9%,6.1,+3.3,2004
Philadelphia,15-4-0,79.0%,8.1,+2.6,2004
Indianapolis,13-5-0,72.2%,9.9,+4.9,2004
LA Chargers,12-5-0,70.6%,7.6,+7.9,2004
Atlanta,12-6-0,66.7%,0.9,-1.2,2004
NY Jets,11-7-0,61.1%,4.0,+2.9,2004
Green Bay,10-7-0,58.8%,1.8,-0.4,2004
Denver,10-7-0,58.8%,3.1,-0.9,2004
Baltimore,9-7-0,56.3%,3.1,+1.1,2004
Jacksonville,9-7-0,56.3%,-1.2,-0.1,2004
Buffalo,9-7-0,56.3%,6.9,+6.4,2004
Seattle,9-8-0,52.9%,-0.5,-4.2,2004
Minnesota,9-9-0,50.0%,0.6,-1.9,2004
New Orleans,8-8-0,50.0%,-3.6,-0.9,2004
LA Rams,9-9-0,50.0%,-5.3,-6.5,2004
Cincinnati,8-8-0,50.0%,0.1,+2.3,2004
Kansas City,7-9-0,43.8%,3.0,+1.6,2004
Houston,7-9-0,43.8%,-1.9,+1.5,2004
Carolina,7-9-0,43.8%,1.0,+1.4,2004
Dallas,6-10-0,37.5%,-7.0,-5.4,2004
NY Giants,6-10-0,37.5%,-2.8,-0.1,2004
Detroit,6-10-0,37.5%,-3.4,-1.4,2004
Arizona,6-10-0,37.5%,-2.4,+1.5,2004
Washington,6-10-0,37.5%,-1.6,-0.3,2004
Tennessee,5-11-0,31.3%,-5.9,-5.9,2004
Tampa Bay,5-11-0,31.3%,-0.2,+0.5,2004
Chicago,5-11-0,31.3%,-6.3,-1.8,2004
Las Vegas,5-11-0,31.3%,-7.6,-4.9,2004
Cleveland,4-12-0,25.0%,-7.1,-1.6,2004
Miami,4-12-0,25.0%,-4.9,-0.2,2004
San Francisco,2-14-0,12.5%,-12.1,-6.4,2004
Indianapolis,14-3-0,82.4%,11.1,+2.3,2005
Seattle,15-4-0,79.0%,10.5,+6.3,2005
Denver,14-4-0,77.8%,7.4,+3.9,2005
Pittsburgh,15-5-0,75.0%,8.8,+6.1,2005
Jacksonville,12-5-0,70.6%,3.9,+2.4,2005
Carolina,13-6-0,68.4%,7.5,+4.7,2005
Tampa Bay,11-6-0,64.7%,1.1,-0.8,2005
NY Giants,11-6-0,64.7%,5.0,+2.2,2005
Cincinnati,11-6-0,64.7%,3.4,-0.1,2005
Chicago,11-6-0,64.7%,2.9,+2.5,2005
Kansas City,10-6-0,62.5%,4.9,+3.6,2005
New England,11-7-0,61.1%,2.9,-0.1,2005
Washington,11-7-0,61.1%,3.5,+2.9,2005
LA Chargers,9-7-0,56.3%,6.6,+3.5,2005
Miami,9-7-0,56.3%,0.1,+2.6,2005
Dallas,9-7-0,56.3%,1.1,-0.2,2005
Minnesota,9-7-0,56.3%,-2.4,-1.5,2005
Atlanta,8-8-0,50.0%,0.6,-1.7,2005
LA Rams,6-10-0,37.5%,-4.1,-3.8,2005
Philadelphia,6-10-0,37.5%,-4.9,-4.8,2005
Cleveland,6-10-0,37.5%,-4.3,-0.7,2005
Baltimore,6-10-0,37.5%,-2.1,-0.8,2005
Buffalo,5-11-0,31.3%,-6.0,-3.7,2005
Arizona,5-11-0,31.3%,-4.8,-2.0,2005
Detroit,5-11-0,31.3%,-5.7,-3.3,2005
Las Vegas,4-12-0,25.0%,-5.8,-3.1,2005
NY Jets,4-12-0,25.0%,-7.2,-2.6,2005
San Francisco,4-12-0,25.0%,-11.8,-2.6,2005
Tennessee,4-12-0,25.0%,-7.6,-4.0,2005
Green Bay,4-12-0,25.0%,-2.9,-0.7,2005
New Orleans,3-13-0,18.8%,-10.2,-6.1,2005
Houston,2-14-0,12.5%,-10.7,-5.2,2005
LA Chargers,14-3-0,82.4%,10.9,+4.4,2006
Indianapolis,16-4-0,80.0%,5.4,-0.2,2006
Chicago,15-4-0,79.0%,9.9,+4.0,2006
Baltimore,13-4-0,76.5%,8.4,+5.6,2006
New England,14-5-0,73.7%,8.8,+4.7,2006
Philadelphia,11-7-0,61.1%,3.9,+1.2,2006
New Orleans,11-7-0,61.1%,3.8,+4.2,2006
NY Jets,10-7-0,58.8%,0.0,+1.9,2006
Denver,9-7-0,56.3%,0.9,-2.5,2006
Seattle,10-8-0,55.6%,-0.4,-2.4,2006
Dallas,9-8-0,52.9%,4.4,-0.7,2006
Kansas City,9-8-0,52.9%,0.1,+0.2,2006
Tennessee,8-8-0,50.0%,-4.8,+1.6,2006
Pittsburgh,8-8-0,50.0%,2.4,-0.5,2006
Jacksonville,8-8-0,50.0%,6.1,+4.2,2006
Green Bay,8-8-0,50.0%,-4.1,-1.0,2006
LA Rams,8-8-0,50.0%,-0.9,-0.2,2006
Cincinnati,8-8-0,50.0%,2.6,+0.5,2006
Carolina,8-8-0,50.0%,-2.2,-4.3,2006
NY Giants,8-9-0,47.1%,-0.6,-1.6,2006
Buffalo,7-9-0,43.8%,-0.7,+2.5,2006
Atlanta,7-9-0,43.8%,-2.3,-3.4,2006
San Francisco,7-9-0,43.8%,-7.1,-1.8,2006
Minnesota,6-10-0,37.5%,-2.8,-2.4,2006
Miami,6-10-0,37.5%,-1.4,-1.1,2006
Houston,6-10-0,37.5%,-6.2,-0.5,2006
Arizona,5-11-0,31.3%,-4.7,-1.1,2006
Washington,5-11-0,31.3%,-4.3,-2.2,2006
Cleveland,4-12-0,25.0%,-7.4,-2.4,2006
Tampa Bay,4-12-0,25.0%,-8.9,-4.1,2006
Detroit,3-13-0,18.8%,-5.8,-1.8,2006
Las Vegas,2-14-0,12.5%,-10.3,-3.5,2006
New England,18-1-0,94.7%,17.5,+4.1,2007
Green Bay,14-4-0,77.8%,9.1,+6.2,2007
Indianapolis,13-4-0,76.5%,10.8,+4.2,2007
Dallas,13-4-0,76.5%,7.4,+1.4,2007
NY Giants,14-6-0,70.0%,2.1,+2.8,2007
LA Chargers,13-6-0,68.4%,7.1,+3.2,2007
Jacksonville,12-6-0,66.7%,5.4,+4.5,2007
Cleveland,10-6-0,62.5%,1.3,+2.0,2007
Seattle,11-7-0,61.1%,5.6,+2.3,2007
