Position,Name,Number,Team,Games Active,Games Played,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Rushing Touchdowns,Receiving Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Receiving Touchdowns,Reception Percentage,Receiving Yards Per Target,Fumbles,Fumbles Lost
TE,Marcedes Lewis,84,CHI,4,4,0.0,0.0,0.0,0.0,1.3,1.3,10.0,10.0,0.0,111.9,10.0,0.0,0.0
TE,Brevin Jordan,9,HOU,4,4,0.0,0.0,0.0,0.0,5.0,5.0,44.8,11.2,1.3,111.9,11.2,0.0,0.0
TE,Jack Stoll,89,PHI,4,4,0.0,0.0,0.0,0.0,2.5,1.3,7.5,7.5,0.0,56.0,3.8,0.0,0.0
TE,John Bates,87,WAS,4,4,0.0,0.0,0.0,0.0,10.0,7.5,71.6,12.0,0.0,83.9,10.0,0.0,0.0
TE,James Mitchell,82,DET,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Jeremy Ruckert,89,NYJ,4,4,0.0,0.0,0.0,0.0,2.5,2.5,29.1,14.5,0.0,111.9,14.5,0.0,0.0
TE,Cole Turner,85,WAS,4,4,0.0,0.0,0.0,0.0,12.3,8.8,81.7,11.6,0.0,71.2,8.3,0.0,0.0
TE,Tre' McKitty,88,LAC,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Quintin Morris,85,BUF,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Kyle Pitts,8,ATL,4,4,1.3,-4.5,-4.5,0.0,23.5,12.3,135.4,12.3,0.0,58.6,7.3,0.0,0.0
TE,Pat Freiermuth,88,PIT,4,4,0.0,0.0,0.0,0.0,14.5,10.0,59.3,8.3,2.5,68.8,5.1,0.0,0.0
TE,Charlie Woerner,89,SF,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Kylen Granson,83,IND,4,4,0.0,0.0,0.0,0.0,21.3,12.3,98.5,10.0,1.3,64.8,5.8,0.0,0.0
TE,Colby Parkinson,84,SEA,4,4,0.0,0.0,0.0,0.0,11.2,7.5,97.4,16.2,0.0,67.1,10.9,0.0,0.0
TE,Mitchell Wilcox,84,CIN,4,4,0.0,0.0,0.0,0.0,5.0,3.8,19.0,7.1,0.0,83.9,5.3,0.0,0.0
TE,Josiah Deguara,81,GB,4,4,0.0,0.0,0.0,0.0,7.5,7.5,43.6,8.1,0.0,111.9,8.1,0.0,0.0
TE,Luke Farrell,89,JAX,4,4,0.0,0.0,0.0,0.0,3.8,3.8,15.7,5.9,0.0,111.9,5.9,0.0,0.0
TE,Jimmy Graham,80,NO,4,4,0.0,0.0,0.0,0.0,1.3,1.3,10.0,10.0,1.3,111.9,10.0,0.0,0.0
TE,Noah Gray,83,KC,4,4,0.0,0.0,0.0,0.0,14.5,10.0,125.3,15.7,1.3,68.8,10.8,0.0,0.0
TE,Harrison Bryant,88,CLE,4,4,3.8,7.5,2.5,0.0,6.3,3.8,8.8,2.9,1.3,67.1,1.8,0.0,0.0
TE,Cole Kmet,85,CHI,4,4,2.5,1.3,0.6,0.0,26.9,20.1,211.5,11.7,2.5,83.9,9.9,0.0,0.0
TE,Giovanni Ricci,45,CAR,4,4,0.0,0.0,0.0,0.0,1.3,1.3,2.5,2.5,0.0,111.9,2.5,0.0,0.0
TE,Tommy Tremble,82,CAR,4,4,0.0,0.0,0.0,0.0,1.3,1.3,16.8,16.8,0.0,111.9,16.8,0.0,0.0
TE,Brock Wright,89,DET,4,4,0.0,0.0,0.0,0.0,2.5,2.5,19.0,10.6,0.0,111.9,10.6,0.0,0.0
TE,Trevon Wesco,88,TEN,4,4,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Chigoziem Okonkwo,85,TEN,4,4,0.0,0.0,0.0,0.0,14.5,11.2,79.4,8.9,0.0,86.1,6.9,0.0,0.0
TE,Ben Sims,89,GB,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Josh Whyle,81,TEN,4,4,0.0,0.0,0.0,0.0,2.5,2.5,29.1,14.5,1.3,111.9,14.5,0.0,0.0
TE,Luke Schoonmaker,86,DAL,4,4,0.0,0.0,0.0,0.0,6.3,1.3,1.3,1.3,1.3,22.4,0.3,0.0,0.0
TE,Brenton Strange,85,JAX,4,4,0.0,0.0,0.0,0.0,2.5,2.5,8.8,4.4,0.0,111.9,4.4,0.0,0.0
TE,Luke Musgrave,88,GB,4,4,0.0,0.0,0.0,0.0,17.9,13.4,139.9,11.6,0.0,83.9,9.8,0.0,0.0
TE,Tucker Kraft,85,GB,4,4,0.0,0.0,0.0,0.0,2.5,2.5,6.3,3.1,0.0,111.9,3.1,0.0,0.0
TE,Dalton Kincaid,86,BUF,4,4,0.0,0.0,0.0,0.0,19.0,16.8,110.8,8.3,0.0,98.7,7.3,0.0,0.0
TE,Stone Smartt,84,LAC,4,4,0.0,0.0,0.0,0.0,2.5,1.3,26.9,26.9,0.0,56.0,13.4,0.0,0.0
TE,Ko Kieft,41,TB,4,4,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Connor Heyward,83,PIT,4,4,1.3,0.0,0.0,0.0,7.5,2.5,21.3,10.6,0.0,37.3,4.0,0.0,0.0
TE,Cade Otton,88,TB,4,4,0.0,0.0,0.0,0.0,16.8,13.4,99.6,9.3,1.3,89.5,7.4,0.0,0.0
TE,Grant Calcaterra,81,PHI,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,Daniel Bellinger,82,NYG,4,4,0.0,0.0,0.0,0.0,3.8,3.8,16.8,6.3,0.0,111.9,6.3,0.0,0.0
TE,Teagan Quitoriano,84,HOU,4,4,0.0,0.0,0.0,0.0,2.5,1.3,12.3,12.3,0.0,56.0,6.9,0.0,0.0
TE,Isaiah Likely,80,BAL,4,4,0.0,0.0,0.0,0.0,5.0,3.8,35.8,12.0,0.0,83.9,10.0,0.0,0.0
TE,Trey McBride,85,ARI,4,4,0.0,0.0,0.0,0.0,8.8,7.5,69.4,11.5,0.0,95.9,11.1,0.0,0.0
TE,Sam LaPorta,87,DET,4,4,0.0,0.0,0.0,0.0,30.2,24.6,270.8,12.3,1.3,91.2,10.1,0.0,0.0
TE,Michael Mayer,87,LV,4,4,0.0,0.0,0.0,0.0,2.5,1.3,2.5,2.5,0.0,56.0,1.3,0.0,0.0
TE,Jake Ferguson,87,DAL,4,4,0.0,0.0,0.0,0.0,28.0,19.0,164.5,10.8,1.3,76.1,7.4,0.0,0.0
TE,Darnell Washington,80,PIT,4,4,0.0,0.0,0.0,0.0,1.3,1.3,11.2,11.2,0.0,111.9,11.2,0.0,0.0
TE,Brycen Hopkins,88,LAR,4,4,0.0,0.0,0.0,0.0,3.8,2.5,29.1,14.5,0.0,74.6,10.9,0.0,0.0
TE,Adam Trautman,82,DEN,4,4,0.0,0.0,0.0,0.0,10.1,6.3,38.0,8.5,0.0,62.2,4.8,0.0,0.0
TE,George Kittle,85,SF,4,4,0.0,0.0,0.0,0.0,21.3,15.7,165.6,11.9,0.0,82.5,9.8,0.0,0.0
TE,Mo Alie-Cox,81,IND,4,4,0.0,0.0,0.0,0.0,5.0,2.5,56.0,28.0,1.3,56.0,14.0,0.0,0.0
TE,Mike Gesicki,88,NE,4,4,0.0,0.0,0.0,0.0,14.5,11.2,110.8,11.1,0.0,86.1,9.5,0.0,0.0
TE,Hayden Hurst,81,CAR,4,4,0.0,0.0,0.0,0.0,17.9,11.2,88.4,9.9,1.3,69.9,6.1,0.0,0.0
TE,Robert Tonyan,18,CHI,4,4,0.0,0.0,0.0,0.0,5.0,2.5,20.1,10.1,0.0,56.0,5.6,0.0,0.0
TE,Pharaoh Brown,86,NE,4,4,0.0,0.0,0.0,0.0,2.5,2.5,79.4,39.7,1.3,111.9,39.7,0.0,0.0
