Position,Name,Number,Team,Activated,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceptionPercentage,ReceivingYardsPerTarget,Fumbles,FumblesLost
WR,Matthew Slater,18,NE,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Deonte Harty,11,BUF,4,4,3.8,2.5,0.9,0.0,13.4,10.1,42.5,5.3,0.0,83.9,4.0,0.0,0.0
WR,Ben Skowronek,18,LAR,4,4,1.3,12.3,12.3,0.0,5.0,2.5,14.5,8.1,0.0,56.0,4.0,0.0,0.0
WR,Elijah Moore,8,CLE,4,4,8.8,3.8,0.5,0.0,32.5,19.0,165.6,10.9,0.0,65.6,6.4,1.3,1.3
WR,Ihmir Smith-Marsette,11,CAR,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,Jalen Tolbert,18,DAL,4,4,0.0,0.0,0.0,0.0,10.1,8.8,79.4,11.3,0.0,87.1,9.9,0.0,0.0
WR,Tutu Atwell,5,LAR,4,4,2.5,30.2,15.1,0.0,39.2,24.6,302.1,13.8,1.3,70.4,9.6,0.0,0.0
WR,Joshua Palmer,5,LAC,4,4,0.0,0.0,0.0,0.0,23.5,12.3,179.0,16.2,1.3,58.6,9.5,1.3,1.3
WR,Kadarius Toney,19,KC,4,4,2.5,2.5,1.3,0.0,14.5,10.1,63.8,7.9,0.0,77.4,5.5,1.3,0.0
WR,Rondale Moore,4,ARI,4,4,6.3,73.9,14.8,1.3,13.4,10.0,61.5,8.6,0.0,74.6,5.8,0.0,0.0
WR,Ronnie Bell,10,SF,4,4,0.0,0.0,0.0,0.0,3.8,3.8,34.7,11.5,1.3,111.9,11.5,0.0,0.0
WR,Terrace Marshall Jr.,88,CAR,4,4,0.0,0.0,0.0,0.0,26.9,17.9,127.6,8.9,0.0,74.6,6.0,1.3,0.0
WR,Dyami Brown,2,WAS,4,4,0.0,0.0,0.0,0.0,8.8,6.3,85.0,17.0,0.0,79.9,12.2,0.0,0.0
WR,Tim Jones,15,JAX,4,4,0.0,0.0,0.0,0.0,5.0,3.8,11.2,4.1,0.0,83.9,3.1,0.0,0.0
WR,Zay Flowers,4,BAL,4,4,6.3,12.3,2.8,0.0,32.5,26.9,273.0,11.4,0.0,92.7,10.5,0.0,0.0
WR,Garrett Wilson,17,NYJ,4,4,0.0,0.0,0.0,0.0,40.3,23.5,251.8,12.0,2.5,65.2,7.8,0.0,0.0
WR,David Bell,18,CLE,4,4,0.0,0.0,0.0,0.0,5.0,3.8,30.2,10.1,0.0,83.9,8.5,0.0,0.0
WR,Amon-Ra St. Brown,14,DET,4,4,1.3,5.0,5.0,0.0,39.2,29.1,370.4,14.2,2.5,83.1,10.6,1.3,1.3
WR,Calvin Austin III,19,PIT,4,4,2.5,3.8,1.9,0.0,23.5,13.4,160.0,13.3,1.3,63.9,8.5,0.0,0.0
WR,Chris Olave,12,NO,4,4,0.0,0.0,0.0,0.0,42.5,25.7,342.4,14.9,0.0,67.7,10.1,0.0,0.0
WR,Nick Westbrook-Ikhine,15,TEN,4,4,0.0,0.0,0.0,0.0,17.9,13.4,149.9,12.5,2.5,83.9,10.5,0.0,0.0
WR,Justin Jefferson,18,MIN,4,4,0.0,0.0,0.0,0.0,52.6,36.9,607.6,18.5,3.8,78.6,13.0,1.3,1.3
WR,DeVonta Smith,6,PHI,4,4,0.0,0.0,0.0,0.0,32.5,24.6,317.8,14.4,2.5,84.9,11.0,0.0,0.0
WR,Tee Higgins,5,CIN,4,4,0.0,0.0,0.0,0.0,35.8,13.4,144.4,12.1,2.5,42.0,5.0,0.0,0.0
WR,Laviska Shenault Jr.,5,CAR,4,4,7.5,29.1,5.4,0.0,5.0,5.0,31.3,8.8,0.0,111.9,8.8,0.0,0.0
WR,K.J. Osborn,17,MIN,4,4,0.0,0.0,0.0,0.0,19.0,10.0,130.9,16.3,2.5,52.7,8.6,0.0,0.0
WR,Devin Duvernay,13,BAL,4,4,3.8,16.8,6.3,0.0,7.5,2.5,10.0,5.0,0.0,37.3,1.6,0.0,0.0
WR,Gabe Davis,13,BUF,4,4,1.3,-2.2,-2.2,0.0,20.1,13.4,246.2,20.5,3.8,74.6,13.7,0.0,0.0
WR,Ja'Marr Chase,1,CIN,4,4,1.3,2.5,2.5,0.0,45.9,32.5,317.8,11.0,0.0,79.1,8.6,0.0,0.0
WR,Randall Cobb,18,NYJ,4,4,0.0,0.0,0.0,0.0,10.0,3.8,22.4,8.4,0.0,42.0,3.1,0.0,0.0
WR,Michael Pittman Jr.,11,IND,4,4,0.0,0.0,0.0,0.0,43.6,29.1,274.2,10.5,1.3,74.6,7.9,1.3,0.0
WR,Donovan Peoples-Jones,11,CLE,4,4,0.0,0.0,0.0,0.0,15.7,7.5,83.9,14.0,0.0,48.0,6.8,1.3,0.0
WR,Nico Collins,12,HOU,4,4,0.0,0.0,0.0,0.0,35.8,24.6,478.9,21.8,3.8,77.0,15.0,0.0,0.0
WR,Isaiah Hodgins,18,NYG,4,4,0.0,0.0,0.0,0.0,13.4,10.0,98.5,12.3,1.3,74.6,9.1,1.3,1.3
WR,Darnell Mooney,11,CHI,4,4,0.0,0.0,0.0,0.0,13.4,10.0,116.4,14.5,1.3,74.6,10.9,0.0,0.0
WR,Drake London,5,ATL,4,4,0.0,0.0,0.0,0.0,24.6,12.3,141.0,12.9,2.5,56.0,7.1,0.0,0.0
WR,George Pickens,14,PIT,4,4,0.0,0.0,0.0,0.0,33.6,17.9,294.3,18.4,1.3,59.6,11.0,1.3,0.0
WR,Jahan Dotson,1,WAS,4,4,0.0,0.0,0.0,0.0,28.0,15.7,123.1,9.9,1.3,62.7,5.5,0.0,0.0
WR,Demario Douglas,81,NE,4,4,1.3,6.3,6.3,0.0,16.8,10.1,133.2,14.8,0.0,67.1,9.9,1.3,1.3
